image_path,purity,weight,fraud,type
RingFIR_0.jpg,2,2.78,0,0
RingFIR_1.jpg,1,5.64,0,0
RingFIR_2.jpg,0,5.56,0,0
RingFIR_3.jpg,2,7.02,0,0
RingFIR_4.jpg,0,3.84,0,0
RingFIR_5.jpg,1,3.95,0,0
RingFIR_6.jpg,1,1.5,0,0
RingFIR_7.jpg,1,6.9,0,0
RingFIR_8.jpg,2,4.14,0,0
RingFIR_9.jpg,2,3.52,0,0
RingFIR_10.jpg,2,3.74,0,0
RingFIR_11.jpg,2,6.2,0,0
RingFIR_12.jpg,2,5.24,0,0
RingFIR_13.jpg,1,3.97,0,0
RingFIR_14.jpg,0,3.8,0,0
RingFIR_15.jpg,0,6.89,0,0
RingFIR_16.jpg,2,2.96,0,0
RingFIR_17.jpg,2,4.68,0,0
RingFIR_18.jpg,0,4.54,0,0
RingFIR_19.jpg,2,5.78,0,0
RingFIR_20.jpg,1,10.56,0,0
RingFIR_21.jpg,1,7.39,0,0
RingFIR_22.jpg,3,5.44,0,0
RingFIR_23.jpg,3,6.76,0,0
RingFIR_24.jpg,0,2.98,0,0
RingFIR_25.jpg,1,1.83,0,0
RingFIR_26.jpg,2,2.31,0,0
RingFIR_27.jpg,2,3.24,0,0
RingFIR_28.jpg,1,6.16,0,0
RingFIR_29.jpg,2,6.78,0,0
RingFIR_30.jpg,2,4.59,0,0
RingFIR_31.jpg,1,3.75,0,0
RingFIR_32.jpg,2,1.98,0,0
RingFIR_33.jpg,0,7.2,0,0
RingFIR_34.jpg,1,7.36,0,0
RingFIR_35.jpg,2,3.2,0,0
RingFIR_36.jpg,2,2.92,0,0
RingFIR_37.jpg,2,4.85,0,0
RingFIR_38.jpg,2,7.99,0,0
RingFIR_39.jpg,2,5.68,0,0
RingFIR_40.jpg,2,4.2,0,0
RingFIR_41.jpg,1,4.88,0,0
RingFIR_42.jpg,0,2.16,0,0
RingFIR_43.jpg,2,7.08,0,0
RingFIR_44.jpg,3,3.93,0,0
RingFIR_45.jpg,2,2.01,0,0
RingFIR_46.jpg,1,4.58,0,0
RingFIR_47.jpg,1,4.15,0,0
RingFIR_48.jpg,3,6.0,0,0
RingFIR_49.jpg,2,7.32,0,0
RingFIR_50.jpg,2,7.74,0,0
RingFIR_51.jpg,2,5.35,0,0
RingFIR_52.jpg,1,4.49,0,0
RingFIR_53.jpg,2,4.26,0,0
RingFIR_54.jpg,2,1.5,0,0
RingFIR_55.jpg,1,5.69,0,0
RingFIR_56.jpg,1,5.91,0,0
RingFIR_57.jpg,1,4.67,0,0
RingFIR_58.jpg,2,3.11,0,0
RingFIR_59.jpg,3,7.81,0,0
RingFIR_60.jpg,3,4.96,0,0
RingFIR_61.jpg,1,1.65,0,0
RingFIR_62.jpg,1,5.2,0,0
RingFIR_63.jpg,2,4.13,0,0
RingFIR_64.jpg,0,5.96,0,0
RingFIR_65.jpg,1,4.48,0,0
RingFIR_66.jpg,1,5.68,0,0
RingFIR_67.jpg,1,4.99,0,0
RingFIR_68.jpg,2,3.45,0,0
